[;110.269622;-7.706395;]
[;110.271223;-7.704773;]
[;110.271223;-7.702588;]
[;110.269622;-7.700466;]
[;110.268683;-7.698407;]
[;110.268799;-7.697534;]
[;110.267813;-7.69571;]
[;110.267435;-7.695017;]
[;110.267138;-7.694748;]
[;110.266602;-7.694399;]
[;110.266048;-7.694144;]
[;110.265607;-7.691415;]
[;110.264495;-7.689701;]
[;110.263648;-7.688263;]
[;110.261537;-7.688006;]
[;110.260584;-7.686536;]
[;110.261302;-7.68417;]
[;110.26067;-7.683526;]
[;110.261194;-7.6821;]
[;110.263733;-7.683118;]
[;110.26444;-7.682035;]
[;110.264064;-7.680854;]
[;110.263042;-7.680487;]
[;110.262763;-7.679663;]
[;110.26288;-7.678566;]
[;110.263601;-7.677072;]
[;110.26524;-7.675705;]
[;110.265819;-7.674036;]
[;110.265664;-7.672647;]
[;110.265314;-7.670899;]
[;110.2652;-7.668195;]
[;110.266777;-7.666004;]
[;110.267132;-7.664773;]
[;110.267151;-7.663071;]
[;110.266127;-7.66191;]
[;110.264522;-7.661165;]
[;110.263076;-7.661039;]
[;110.263398;-7.656687;]
[;110.264443;-7.655681;]
[;110.264371;-7.655054;]
[;110.263898;-7.653545;]
[;110.263563;-7.652439;]
[;110.264374;-7.651725;]
[;110.265627;-7.650729;]
[;110.266028;-7.650593;]
[;110.266187;-7.650076;]
[;110.26545;-7.648759;]
[;110.264016;-7.646189;]
[;110.261964;-7.64539;]
[;110.260991;-7.644981;]
[;110.260614;-7.644726;]
[;110.259876;-7.644308;]
[;110.259026;-7.644079;]
[;110.257572;-7.643857;]
[;110.256683;-7.643078;]
[;110.25485;-7.642127;]
[;110.254232;-7.642066;]
[;-7.64229;;
[;-7.642662;;
[;-7.643035;;
[;-7.644251;;
[;-7.647291;;
[;-7.648203;;
[;-7.650088;;
[;-7.653128;;
[;-7.654709;;
[;-7.654891;;
[;-7.653067;;
[;-7.651669;;
[;-7.651182;;
[;-7.650696;;
[;-7.650027;;
[;-7.649054;;
[;-7.649419;;
[;-7.650514;;
[;-7.652155;;
[;-7.652277;;
[;-7.651547;;
[;-7.649784;;
[;-7.646562;;
[;-7.64571;;
[;-7.646683;;
[;-7.64723;;
[;-7.648446;;
[;-7.649298;;
[;-7.649115;;
[;-7.649115;;
[;-7.648386;;
[;-7.646866;;
[;-7.647352;;
[;-7.646744;;
[;-7.647899;;
[;-7.65021;;
[;-7.650818;;
[;-7.650149;;
[;-7.647048;;
[;-7.646318;;
[;-7.646075;;
[;-7.646683;;
[;-7.650514;;
[;-7.652459;;
[;-7.65483;;
[;-7.655499;;
[;-7.655378;;
[;-7.655925;;
[;-7.658478;;
[;-7.660667;;
[;-7.663403;;
[;-7.664862;;
[;-7.666261;;
[;-7.667963;;
[;-7.668571;;
[;-7.668692;;
[;-7.670091;;
[;-7.671489;;
[;-7.674651;;
[;-7.676049;;
[;-7.678602;;
[;-7.681946;;
[;-7.683709;;
[;-7.684803;;
[;-7.687174;;
[;-7.689849;;
[;-7.691309;;
[;-7.693862;;
[;-7.695503;;
[;-7.69678;;
[;-7.699759;;
[;-7.701339;;
[;-7.70292;;
[;-7.704379;;
[;-7.705109;;
[;-7.706081;;
[;-7.709364;;
[;-7.713133;;
[;-7.715139;;
[;-7.717024;;
[;-7.719394;;
[;-7.721705;;
[;-7.723589;;
[;-7.725473;;
[;-7.730397;;
[;-7.735929;;
[;-7.73982;;
[;-7.741825;;
[;-7.746202;;
[;-7.747236;;
[;-7.747539;;
[;-7.749606;;
[;-7.752767;;
[;-7.759514;;
[;-7.764255;;
[;-7.76614;;
[;-7.768875;;
[;-7.770941;;
[;-7.773859;;
[;-7.777384;;
[;-7.777931;;
[;-7.777628;;
[;-7.778904;;
[;-7.782794;;
[;-7.784313;;
[;-7.787474;;
[;-7.790513;;
[;-7.79647;;
[;-7.802;;
[;-7.805282;;
[;-7.808321;;
[;-7.809719;;
[;-7.814217;;
[;-7.816951;;
[;-7.819626;;
[;-7.822725;;
[;-7.833968;;
[;-7.835792;;
[;-7.837129;;
[;-7.838405;;
[;-7.841687;;
[;-7.843814;;
[;-7.845455;;
[;-7.849405;;
[;-7.851532;;
[;-7.855178;;
[;-7.858399;;
[;-7.86162;;
[;-7.867028;;
[;-7.881977;;
[;-7.88222;;
[;-7.881977;;
[;-7.884894;;
[;-7.892185;;
[;-7.889755;;
[;-7.888297;;
[;-7.88702;;
[;-7.883374;;
[;-7.881551;;
[;-7.888375;;
[;-8.133009;;
[;-8.20705;;
[;-8.254134;;
[;-8.289484;;
[;-8.387396;;
[;-8.395479;;
[;-8.413873;;
[;-8.203901;;
[;-8.197374;;
[;-8.196609;;
[;-8.194119;;
[;-8.191691;;
[;-8.189474;;
[;-8.187046;;
[;-8.184617;;
[;-8.183008;;
[;-8.181489;;
[;-8.179455;;
[;-8.176207;;
[;-8.174537;;
[;-8.173019;;
[;-8.172078;;
[;-8.170954;;
[;-8.169406;;
[;-8.168465;;
[;-8.165216;;
[;-8.162999;;
[;-8.160267;;
[;-8.158081;;
[;-8.156259;;
[;-8.155105;;
[;-8.153405;;
[;-8.151644;;
[;-8.149124;;
[;-8.146937;;
[;-8.144387;;
[;-8.142899;;
[;-8.141168;;
[;-8.140288;;
[;-8.139438;;
[;-8.138587;;
[;-8.138678;;
[;-8.139984;;
[;-8.142201;;
[;-8.145692;;
[;-8.149457;;
[;-8.152797;;
[;-8.156775;;
[;-8.157443;;
[;-8.157413;;
[;-8.15632;;
[;-8.154194;;
[;-8.151856;;
[;-8.149488;;
[;-8.144812;;
[;-8.14217;;
[;-8.133061;;
[;-8.125318;;
[;-8.122281;;
[;-8.121006;;
[;-8.115419;;
[;-8.107888;;
[;-8.097594;;
[;-8.092127;;
[;-8.083746;;
[;-8.080162;;
[;-8.065433;;
[;-8.062882;;
[;-8.058448;;
[;-8.05447;;
[;-8.049459;;
[;-8.046664;;
[;-8.042534;;
[;-8.039618;;
[;-8.034577;;
[;-8.026953;;
[;-8.023096;;
[;-8.014652;;
[;-8.006664;;
[;-8.001136;;
[;-7.994909;;
[;-7.989198;;
[;-7.988773;;
[;-7.988621;;
[;-7.986465;;
[;-7.984399;;
[;-7.978962;;
[;-7.976349;;
[;-7.965353;;
[;-7.962649;;
[;-7.954782;;
[;-7.950498;;
[;-7.945729;;
[;-7.943481;;
[;-7.941111;;
[;-7.939835;;
[;-7.938347;;
[;-7.934124;;
[;-7.92823;;
[;-7.926074;;
[;-7.923218;;
[;-7.913162;;
[;-7.899885;;
[;-7.893869;;
[;-7.891955;;
[;-7.889494;;
[;-7.887762;;
[;-7.884603;;
[;-7.883083;;
[;-7.878951;;
[;-7.875883;;
[;-7.872692;;
[;-7.870262;;
[;-7.866707;;
[;-7.863303;;
[;-7.861146;;
[;-7.859171;;
[;-7.856984;;
[;-7.855859;;
[;-7.853854;;
[;-7.852213;;
[;-7.850663;;
[;-7.84963;;
[;-7.849995;;
[;-7.849387;;
[;-7.846865;;
[;-7.845832;;
[;-7.844768;;
[;-7.83231;;
[;-7.829393;;
[;-7.826901;;
[;-7.823285;;
[;-7.817238;;
[;-7.815323;;
[;-7.814321;;
[;-7.813409;;
